  x (normalized)   y (normalized)    zenith (um)   horizon (um)      z-grad (um)    r-grad (um)
  -9.2027557e-01  -2.8140659e-01   1.6534886e-02  -1.6215581e-02   8.9770733e-02  -1.6580400e-02
  -9.2027557e-01  -2.6619542e-01   1.1633871e-02  -1.0519228e-02   8.7399458e-02  -1.6210149e-02
  -9.2027557e-01  -2.5098425e-01   6.0358440e-03  -7.3057951e-03   8.5182393e-02  -1.5862332e-02
  -9.2027557e-01  -2.3577309e-01  -2.7315753e-06  -6.7165388e-03   8.3180927e-02  -1.5545801e-02
  -9.2027557e-01  -2.2056192e-01  -7.2293870e-03  -8.1332514e-03   8.1300582e-02  -1.5248101e-02
  -9.2027557e-01  -2.0535075e-01  -1.4615721e-02  -9.9495435e-03   7.9441867e-02  -1.4954447e-02
  -9.2027557e-01  -1.9013959e-01  -1.5585079e-02  -1.0149003e-02   7.7752582e-02  -1.4680595e-02
  -9.2027557e-01  -1.7492842e-01  -1.2332733e-02  -9.2185616e-03   7.6213737e-02  -1.4430908e-02
  -9.2027557e-01  -1.5971725e-01  -8.1591567e-03  -8.0307215e-03   7.4789761e-02  -1.4201321e-02
  -9.2027557e-01  -1.4450609e-01  -2.6457450e-03  -6.4310992e-03   7.3492116e-02  -1.3992125e-02
  -9.2027557e-01  -1.2929492e-01   3.4267793e-03  -4.5516752e-03   7.2335571e-02  -1.3804570e-02
  -9.2027557e-01  -1.1408375e-01   6.8217475e-03  -3.1400100e-03   7.1282376e-02  -1.3632378e-02
  -9.2027557e-01  -9.8872585e-02   8.1313340e-03  -1.9631750e-03   7.0346511e-02  -1.3477534e-02
  -9.2027557e-01  -8.3661415e-02   7.3732156e-03  -1.0324298e-03   6.9546506e-02  -1.3346670e-02
  -9.2027557e-01  -6.8450250e-02   3.5934452e-03  -3.8162226e-04   6.8883490e-02  -1.3237108e-02
  -9.2027557e-01  -5.3239084e-02  -2.5799634e-03  -2.0925146e-04   6.8410695e-02  -1.3161006e-02
  -9.2027557e-01  -3.8027917e-02  -8.5907826e-03  -2.6344488e-04   6.8100110e-02  -1.3108841e-02
  -9.2027557e-01  -2.2816750e-02  -1.4752752e-02  -1.4093065e-04   6.7908065e-02  -1.3071209e-02
  -9.2027557e-01  -7.6055835e-03  -2.0569987e-02   1.0058119e-04   6.7751980e-02  -1.3034422e-02
  -9.2027557e-01   7.6055835e-03  -2.0569621e-02   1.2058492e-04   6.7751974e-02  -1.3034421e-02
  -9.2027557e-01   2.2816750e-02  -1.4751603e-02  -1.5842847e-05   6.7908049e-02  -1.3071205e-02
  -9.2027557e-01   3.8027917e-02  -8.5886815e-03  -3.3410215e-05   6.8100084e-02  -1.3108835e-02
  -9.2027557e-01   5.3239084e-02  -2.5756298e-03   3.1939513e-04   6.8410659e-02  -1.3160997e-02
  -9.2027557e-01   6.8450250e-02   3.6003615e-03   8.7434245e-04   6.8883444e-02  -1.3237092e-02
  -9.2027557e-01   8.3661415e-02   7.3798004e-03   1.5183948e-03   6.9546448e-02  -1.3346644e-02
  -9.2027557e-01   9.8872585e-02   8.1433659e-03   2.0787377e-03   7.0346443e-02  -1.3477540e-02
  -9.2027557e-01   1.1408375e-01   6.8337584e-03   2.8956276e-03   7.1282298e-02  -1.3632358e-02
  -9.2027557e-01   1.2929492e-01   3.4397456e-03   4.1256334e-03   7.2335483e-02  -1.3804507e-02
  -9.2027557e-01   1.4450609e-01  -2.6307966e-03   5.8986019e-03   7.3492018e-02  -1.3992088e-02
  -9.2027557e-01   1.5971725e-01  -8.1401780e-03   7.4195232e-03   7.4789653e-02  -1.4201320e-02
  -9.2027557e-01   1.7492842e-01  -1.2310776e-02   8.8525962e-03   7.6213617e-02  -1.4430907e-02
  -9.2027557e-01   1.9013959e-01  -1.5562252e-02   1.0253749e-02   7.7752452e-02  -1.4680568e-02
  -9.2027557e-01   2.0535075e-01  -1.4589695e-02   1.0286644e-02   7.9441727e-02  -1.4954421e-02
  -9.2027557e-01   2.2056192e-01  -7.1941980e-03   8.1731254e-03   8.1300432e-02  -1.5248113e-02
  -9.2027557e-01   2.3577309e-01   2.5316747e-05   6.3718647e-03   8.3180767e-02  -1.5545769e-02
  -9.2027557e-01   2.5098425e-01   6.0542570e-03   6.8059504e-03   8.5182241e-02  -1.5862243e-02
  -9.2027557e-01   2.6619542e-01   1.1654672e-02   1.0299699e-02   8.7399776e-02  -1.6210127e-02
  -9.2027557e-01   2.8140659e-01   1.6565765e-02   1.6448336e-02   8.9771011e-02  -1.6580402e-02
  -9.0506443e-01  -3.2704009e-01   1.3950949e-02  -3.8199889e-02   8.9690638e-02  -1.6602605e-02
  -9.0506443e-01  -3.1182892e-01   1.4379451e-02  -2.4500159e-02   8.7069013e-02  -1.6195044e-02
  -9.0506443e-01  -2.9661775e-01   1.4333907e-02  -1.4463526e-02   8.4573198e-02  -1.5802735e-02
  -9.0506443e-01  -2.8140659e-01   1.2585305e-02  -7.9101398e-03   8.2067043e-02  -1.5408236e-02
  -9.0506443e-01  -2.6619542e-01   8.0792407e-03  -4.4780071e-03   7.9724338e-02  -1.5035818e-02
  -9.0506443e-01  -2.5098425e-01   1.8169153e-03  -3.3087562e-03   7.7547872e-02  -1.4686819e-02
  -9.0506443e-01  -2.3577309e-01  -4.7611724e-03  -3.6256729e-03   7.5526447e-02  -1.4361955e-02
  -9.0506443e-01  -2.2056192e-01  -1.2875069e-02  -5.4929764e-03   7.3612212e-02  -1.4050401e-02
  -9.0506443e-01  -2.0535075e-01  -1.8998950e-02  -7.5284730e-03   7.1816377e-02  -1.3751232e-02
  -9.0506443e-01  -1.9013959e-01  -2.0992100e-02  -8.6210015e-03   7.0148302e-02  -1.3469473e-02
  -9.0506443e-01  -1.7492842e-01  -1.7922131e-02  -8.2122300e-03   6.8614967e-02  -1.3218191e-02
  -9.0506443e-01  -1.5971725e-01  -1.1888336e-02  -6.8533170e-03   6.7262931e-02  -1.3010534e-02
  -9.0506443e-01  -1.4450609e-01  -5.6988234e-03  -5.3965456e-03   6.5960616e-02  -1.2796728e-02
  -9.0506443e-01  -1.2929492e-01   5.9041651e-04  -3.7726669e-03   6.4750021e-02  -1.2594139e-02
  -9.0506443e-01  -1.1408375e-01   4.5801369e-03  -2.5081681e-03   6.3663286e-02  -1.2411767e-02
  -9.0506443e-01  -9.8872585e-02   6.1471999e-03  -1.5104848e-03   6.2707281e-02  -1.2252003e-02
  -9.0506443e-01  -8.3661415e-02   5.5295862e-03  -7.4050394e-04   6.1897645e-02  -1.2116933e-02
  -9.0506443e-01  -6.8450250e-02   2.1629834e-03  -3.4949008e-04   6.1276490e-02  -1.2012087e-02
  -9.0506443e-01  -5.3239084e-02  -3.7141037e-03  -3.8109754e-04   6.0845145e-02  -1.1937715e-02
  -9.0506443e-01  -3.8027917e-02  -8.9972964e-03  -3.3365866e-04   6.0515970e-02  -1.1880026e-02
  -9.0506443e-01  -2.2816750e-02  -1.5418058e-02  -1.1662421e-04   6.0240025e-02  -1.1823307e-02
  -9.0506443e-01  -7.6055835e-03  -2.0589014e-02   4.7190619e-05   6.0073570e-02  -1.1784892e-02
  -9.0506443e-01   7.6055835e-03  -2.0588729e-02   2.6083837e-06   6.0073564e-02  -1.1784891e-02
  -9.0506443e-01   2.2816750e-02  -1.5417053e-02  -1.8021125e-04   6.0240009e-02  -1.1823303e-02
